,CHOCOLATE
0,7889.0
1,7889.5
2,7890.5
3,7890.0
4,7890.0
5,7889.0
6,7889.0
7,7889.0
8,7890.0
9,7889.0
10,7891.0
11,7892.0
12,7892.5
13,7891.5
14,7889.5
15,7890.5
16,7892.5
17,7893.0
18,7892.5
19,7892.0
20,7891.5
21,7891.5
22,7890.0
23,7890.5
24,7892.0
25,7890.0
26,7887.5
27,7888.5
28,7889.5
29,7888.5
30,7889.0
31,7888.5
32,7888.5
33,7887.5
34,7888.5
35,7890.5
36,7889.0
37,7888.5
38,7888.5
39,7888.0
40,7887.5
41,7888.5
42,7887.0
43,7888.5
44,7888.0
45,7889.0
46,7889.0
47,7889.0
48,7889.0
49,7889.5
50,7887.5
51,7888.0
52,7889.5
53,7889.5
54,7891.5
55,7893.5
56,7894.0
57,7894.5
58,7893.5
59,7894.5
60,7895.5
61,7894.5
62,7894.0
63,7895.0
64,7896.5
65,7895.0
66,7894.5
67,7893.5
68,7894.0
69,7893.5
70,7895.0
71,7895.5
72,7895.0
73,7895.5
74,7895.5
75,7895.0
76,7895.0
77,7895.5
78,7894.5
79,7893.5
80,7894.0
81,7894.0
82,7894.5
83,7894.5
84,7895.0
85,7894.0
86,7893.5
87,7895.0
88,7895.5
89,7897.0
90,7896.5
91,7896.5
92,7896.5
93,7896.5
94,7895.5
95,7895.0
96,7897.5
97,7897.5
98,7896.0
99,7898.5
100,7898.5
101,7898.5
102,7899.5
103,7900.0
104,7899.5
105,7899.0
106,7898.5
107,7897.5
108,7897.0
109,7896.0
110,7896.5
111,7897.0
112,7897.0
113,7896.5
114,7897.0
115,7897.0
116,7898.5
117,7899.0
118,7898.5
119,7897.5
120,7897.0
121,7895.5
122,7895.0
123,7894.5
124,7896.5
125,7896.0
126,7897.0
127,7895.5
128,7895.5
129,7895.0
130,7894.5
131,7894.5
132,7896.5
133,7896.5
134,7896.0
135,7896.0
136,7895.5
137,7894.5
138,7895.5
139,7894.5
140,7895.0
141,7895.5
142,7895.0
143,7896.5
144,7894.5
145,7895.5
146,7894.5
147,7895.0
148,7896.5
149,7895.0
150,7894.0
151,7895.0
152,7895.0
153,7897.0
154,7897.5
155,7898.0
156,7898.5
157,7899.5
158,7897.5
159,7897.0
160,7897.5
161,7897.5
162,7895.5
163,7896.0
164,7894.5
165,7895.0
166,7894.0
167,7893.5
168,7893.0
169,7892.0
170,7891.5
171,7891.0
172,7890.5
173,7891.5
174,7891.5
175,7891.5
176,7889.5
177,7891.5
178,7891.5
179,7891.0
180,7891.5
181,7890.5
182,7892.5
183,7893.5
184,7893.0
185,7893.0
186,7893.5
187,7892.5
188,7895.0
189,7894.0
190,7894.5
191,7895.0
192,7895.5
193,7895.5
194,7894.5
195,7895.5
196,7894.5
197,7894.5
198,7895.0
199,7895.0
200,7894.5
201,7894.5
202,7894.0
203,7896.5
204,7897.0
205,7894.0
206,7893.0
207,7893.0
208,7893.0
209,7893.5
210,7892.5
211,7891.5
212,7890.5
213,7889.5
214,7888.5
215,7888.5
216,7886.5
217,7888.5
218,7888.0
219,7886.0
220,7886.5
221,7887.0
222,7886.0
223,7888.0
224,7888.5
225,7887.5
226,7885.5
227,7884.0
228,7884.5
229,7882.5
230,7882.5
231,7884.5
232,7883.0
233,7883.5
234,7884.5
235,7886.0
236,7886.0
237,7886.0
238,7885.5
239,7885.5
240,7886.0
241,7885.5
242,7886.5
243,7886.0
244,7885.5
245,7885.5
246,7886.0
247,7885.0
248,7884.5
249,7884.0
250,7883.5
251,7883.5
252,7884.5
253,7884.5
254,7884.5
255,7885.5
256,7883.0
257,7884.5
258,7886.0
259,7885.5
260,7887.0
261,7887.0
262,7886.5
263,7886.5
264,7885.5
265,7886.0
266,7886.0
267,7884.0
268,7883.5
269,7884.0
270,7885.5
271,7886.0
272,7888.0
273,7887.5
274,7888.0
275,7887.5
276,7886.5
277,7886.5
278,7885.5
279,7884.5
280,7886.5
281,7886.0
282,7886.5
283,7885.5
284,7888.0
285,7886.5
286,7886.5
287,7885.5
288,7885.5
289,7885.0
290,7885.0
291,7884.5
292,7883.5
293,7883.5
294,7885.5
295,7885.5
296,7886.5
297,7887.0
298,7887.5
299,7886.5
300,7887.0
301,7888.5
302,7890.5
303,7889.5
304,7891.5
305,7891.5
306,7891.0
307,7890.5
308,7890.5
309,7890.0
310,7889.0
311,7890.5
312,7891.0
313,7890.5
314,7891.0
315,7891.0
316,7889.5
317,7891.0
318,7890.0
319,7888.5
320,7888.5
321,7892.0
322,7892.5
323,7892.5
324,7892.5
325,7892.5
326,7892.5
327,7892.5
328,7894.0
329,7895.5
330,7894.5
331,7894.5
332,7894.5
333,7893.5
334,7892.0
335,7893.0
336,7892.0
337,7892.5
338,7893.0
339,7892.5
340,7892.0
341,7891.5
342,7891.5
343,7891.0
344,7892.0
345,7894.0
346,7892.5
347,7891.0
348,7890.5
349,7888.5
350,7887.5
351,7887.0
352,7886.5
353,7888.0
354,7888.5
355,7889.0
356,7887.5
357,7888.0
358,7888.5
359,7889.5
360,7889.5
361,7890.0
362,7891.5
363,7891.5
364,7892.0
365,7890.5
366,7890.5
367,7890.0
368,7889.5
369,7890.5
370,7888.5
371,7889.0
372,7889.5
373,7889.5
374,7890.5
375,7889.0
376,7889.0
377,7888.0
378,7888.5
379,7887.5
380,7889.0
381,7888.5
382,7887.5
383,7888.0
384,7888.0
385,7888.0
386,7887.5
387,7887.5
388,7887.5
389,7889.5
390,7888.5
391,7890.0
392,7889.5
393,7890.5
394,7889.5
395,7888.0
396,7887.5
397,7889.5
398,7889.5
399,7890.5
400,7890.5
401,7890.5
402,7890.0
403,7888.5
404,7888.5
405,7887.5
406,7886.5
407,7887.5
408,7888.5
409,7890.5
410,7889.0
411,7890.5
412,7892.5
413,7891.5
414,7890.5
415,7890.5
416,7891.0
417,7890.5
418,7890.5
419,7892.0
420,7891.5
421,7891.5
422,7891.5
423,7891.5
424,7892.5
425,7892.0
426,7892.5
427,7892.5
428,7892.5
429,7892.5
430,7892.5
431,7890.5
432,7890.5
433,7890.5
434,7890.0
435,7892.0
436,7892.0
437,7890.0
438,7891.0
439,7890.0
440,7889.5
441,7889.5
442,7889.5
443,7889.0
444,7890.0
445,7889.0
446,7888.5
447,7889.5
448,7888.5
449,7890.0
450,7890.0
451,7888.5
452,7890.5
453,7892.0
454,7891.5
455,7892.5
456,7893.5
457,7893.0
458,7892.5
459,7892.5
460,7892.0
461,7893.0
462,7894.0
463,7894.0
464,7893.0
465,7892.5
466,7893.5
467,7894.0
468,7893.5
469,7893.5
470,7891.5
471,7891.5
472,7891.5
473,7891.0
474,7890.0
475,7889.5
476,7892.0
477,7893.5
478,7894.5
479,7894.5
480,7895.5
481,7896.5
482,7897.5
483,7896.5
484,7898.5
485,7897.5
486,7899.5
487,7899.5
488,7898.0
489,7898.5
490,7897.5
491,7896.5
492,7897.0
493,7897.5
494,7898.0
495,7898.0
496,7898.0
497,7897.5
498,7897.0
499,7898.5
500,7899.0
501,7900.5
502,7900.5
503,7900.5
504,7900.0
505,7900.0
506,7899.5
507,7898.0
508,7898.5
509,7898.5
510,7898.5
511,7898.5
512,7897.5
513,7897.5
514,7897.5
515,7897.5
516,7896.5
517,7897.0
518,7897.0
519,7896.5
520,7897.5
521,7896.0
522,7893.5
523,7894.5
524,7894.5
525,7894.5
526,7894.5
527,7893.5
528,7892.0
529,7892.0
530,7892.0
531,7891.0
532,7891.0
533,7891.5
534,7892.5
535,7893.0
536,7893.0
537,7892.0
538,7890.5
539,7889.5
540,7889.0
541,7888.0
542,7888.5
543,7887.5
544,7886.5
545,7885.5
546,7887.0
547,7886.5
548,7888.5
549,7889.5
550,7889.0
551,7891.0
552,7891.0
553,7890.5
554,7888.5
555,7888.5
556,7888.5
557,7888.5
558,7888.0
559,7887.5
560,7888.0
561,7888.0
562,7887.0
563,7885.5
564,7886.5
565,7887.0
566,7886.5
567,7886.5
568,7888.5
569,7888.5
570,7890.0
571,7891.5
572,7890.0
573,7890.0
574,7891.5
575,7891.0
576,7892.5
577,7892.0
578,7893.0
579,7894.0
580,7891.5
581,7892.5
582,7892.0
583,7891.0
584,7891.0
585,7891.5
586,7892.0
587,7893.5
588,7892.5
589,7893.5
590,7895.0
591,7896.5
592,7897.0
593,7896.5
594,7896.5
595,7896.5
596,7895.5
597,7896.0
598,7897.0
599,7896.5
600,7895.5
601,7895.5
602,7897.0
603,7897.5
604,7898.0
605,7898.0
606,7898.5
607,7899.5
608,7898.5
609,7898.5
610,7899.5
611,7901.0
612,7900.0
613,7900.0
614,7901.0
615,7902.5
616,7902.5
617,7902.5
618,7901.5
619,7901.0
620,7900.5
621,7900.5
622,7899.5
623,7902.0
624,7902.5
625,7903.0
626,7903.5
627,7903.5
628,7902.5
629,7902.5
630,7902.5
631,7902.0
632,7901.5
633,7902.5
634,7901.5
635,7902.5
636,7902.5
637,7903.0
638,7902.5
639,7900.5
640,7902.0
641,7902.5
642,7900.5
643,7902.5
644,7902.0
645,7901.5
646,7900.5
647,7901.5
648,7902.0
649,7902.5
650,7902.5
651,7900.5
652,7901.0
653,7901.0
654,7900.5
655,7900.5
656,7900.0
657,7902.0
658,7901.5
659,7904.0
660,7904.0
661,7904.0
662,7905.0
663,7904.5
664,7905.5
665,7904.0
666,7903.5
667,7903.0
668,7902.0
669,7902.5
670,7902.5
671,7903.5
672,7902.5
673,7904.5
674,7903.5
675,7904.0
676,7903.5
677,7905.5
678,7904.5
679,7903.0
680,7903.5
681,7903.5
682,7902.0
683,7903.5
684,7904.0
685,7904.0
686,7902.0
687,7902.5
688,7904.5
689,7905.0
690,7904.5
691,7904.0
692,7904.5
693,7902.5
694,7902.5
695,7901.5
696,7902.0
697,7901.0
698,7901.0
699,7901.5
700,7903.0
701,7904.0
702,7905.5
703,7904.5
704,7905.0
705,7907.5
706,7908.5
707,7908.5
708,7907.5
709,7909.0
710,7910.0
711,7910.0
712,7908.5
713,7907.5
714,7908.5
715,7908.5
716,7910.5
717,7909.5
718,7909.5
719,7909.5
720,7907.5
721,7907.5
722,7907.5
723,7909.0
724,7908.5
725,7908.5
726,7907.0
727,7907.5
728,7909.0
729,7909.5
730,7910.5
731,7909.0
732,7910.5
733,7909.5
734,7909.0
735,7907.0
736,7906.5
737,7906.0
738,7904.5
739,7905.5
740,7904.5
741,7904.5
742,7905.5
743,7905.0
744,7905.0
745,7905.5
746,7904.5
747,7904.5
748,7905.0
749,7905.5
750,7905.5
751,7905.5
752,7904.5
753,7903.5
754,7904.5
755,7905.0
756,7906.5
757,7908.5
758,7909.0
759,7909.5
760,7910.0
761,7909.0
762,7908.5
763,7909.0
764,7908.5
765,7909.5
766,7910.5
767,7910.5
768,7911.5
769,7912.0
770,7910.0
771,7909.0
772,7910.5
773,7912.5
774,7911.5
775,7911.5
776,7914.5
777,7915.5
778,7915.0
779,7914.0
780,7913.0
781,7913.5
782,7913.5
783,7912.5
784,7914.5
785,7913.5
786,7914.0
787,7914.5
788,7912.5
789,7912.5
790,7910.5
791,7910.0
792,7909.5
793,7910.0
794,7909.5
795,7910.5
796,7907.5
797,7907.5
798,7909.5
799,7909.5
800,7911.0
801,7909.0
802,7908.0
803,7908.5
804,7908.5
805,7907.0
806,7906.5
807,7905.5
808,7905.0
809,7905.5
810,7906.0
811,7906.0
812,7903.5
813,7903.0
814,7901.0
815,7901.0
816,7902.0
817,7902.5
818,7903.0
819,7901.5
820,7902.0
821,7901.5
822,7900.5
823,7899.5
824,7900.0
825,7901.0
826,7902.5
827,7902.5
828,7902.5
829,7901.5
830,7903.0
831,7903.0
832,7903.0
833,7904.5
834,7905.5
835,7903.5
836,7903.5
837,7902.5
838,7902.5
839,7904.0
840,7903.0
841,7903.5
842,7904.5
843,7903.5
844,7904.5
845,7904.5
846,7905.0
847,7905.0
848,7903.5
849,7902.0
850,7902.0
851,7902.0
852,7900.5
853,7899.0
854,7901.5
855,7902.0
856,7902.0
857,7900.5
858,7900.5
859,7899.5
860,7897.5
861,7897.5
862,7899.5
863,7898.5
864,7898.5
865,7897.0
866,7897.0
867,7895.5
868,7896.5
869,7898.5
870,7898.5
871,7898.0
872,7898.0
873,7898.5
874,7899.5
875,7899.0
876,7899.5
877,7898.0
878,7899.5
879,7900.5
880,7902.0
881,7902.5
882,7900.5
883,7901.0
884,7900.0
885,7899.5
886,7900.5
887,7899.0
888,7900.0
889,7900.5
890,7900.5
891,7900.5
892,7900.5
893,7900.5
894,7900.5
895,7901.5
896,7901.0
897,7899.5
898,7901.0
899,7902.5
900,7902.5
901,7901.5
902,7901.0
903,7900.0
904,7898.0
905,7899.5
906,7899.0
907,7899.5
908,7898.5
909,7897.5
910,7898.5
911,7899.0
912,7899.5
913,7901.0
914,7901.5
915,7901.5
916,7901.5
917,7902.0
918,7902.0
919,7902.5
920,7902.5
921,7902.5
922,7904.0
923,7901.5
924,7901.5
925,7901.5
926,7903.5
927,7902.5
928,7903.5
929,7902.5
930,7902.5
931,7903.5
932,7904.0
933,7904.5
934,7903.5
935,7904.5
936,7904.0
937,7904.5
938,7904.5
939,7904.5
940,7904.5
941,7904.5
942,7904.0
943,7902.5
944,7901.5
945,7901.5
946,7901.5
947,7901.0
948,7900.5
949,7900.5
950,7901.5
951,7903.5
952,7902.5
953,7900.5
954,7901.5
955,7899.5
956,7900.5
957,7900.5
958,7900.0
959,7899.5
960,7897.5
961,7897.5
962,7898.0
963,7899.0
964,7898.0
965,7898.5
966,7901.0
967,7899.0
968,7899.0
969,7899.5
970,7899.0
971,7898.5
972,7897.5
973,7897.5
974,7897.5
975,7897.5
976,7897.5
977,7896.5
978,7897.0
979,7896.5
980,7898.0
981,7899.5
982,7900.5
983,7899.5
984,7900.5
985,7899.5
986,7900.5
987,7901.0
988,7900.0
989,7899.0
990,7897.5
991,7897.5
992,7898.0
993,7896.0
994,7896.0
995,7897.5
996,7899.5
997,7898.0
998,7898.5
999,7899.0
1000,7899.0
