,ROSES
0,14421.5
1,14424.0
2,14422.5
3,14421.5
4,14422.0
5,14422.5
6,14422.0
7,14423.5
8,14426.5
9,14429.5
10,14427.5
11,14422.5
12,14423.0
13,14415.5
14,14417.5
15,14419.0
16,14415.5
17,14417.5
18,14415.5
19,14418.5
20,14416.5
21,14414.5
22,14412.5
23,14413.5
24,14410.5
25,14416.5
26,14415.5
27,14420.5
28,14419.5
29,14418.5
30,14416.5
31,14414.5
32,14415.5
33,14419.0
34,14419.5
35,14416.5
36,14417.5
37,14415.5
38,14408.0
39,14408.5
40,14403.5
41,14402.0
42,14402.5
43,14401.0
44,14400.5
45,14404.5
46,14407.0
47,14411.0
48,14411.5
49,14411.5
50,14416.5
51,14415.0
52,14416.0
53,14416.5
54,14417.0
55,14418.5
56,14419.0
57,14421.0
58,14418.5
59,14420.5
60,14417.5
61,14420.5
62,14422.5
63,14422.5
64,14420.5
65,14420.5
66,14422.5
67,14418.0
68,14415.5
69,14418.0
70,14417.5
71,14413.5
72,14408.0
73,14406.5
74,14402.0
75,14402.5
76,14402.0
77,14406.5
78,14403.5
79,14405.0
80,14401.5
81,14399.0
82,14398.5
83,14396.0
84,14400.5
85,14400.5
86,14398.5
87,14404.5
88,14402.5
89,14401.5
90,14400.5
91,14398.5
92,14400.0
93,14403.0
94,14399.5
95,14398.0
96,14397.0
97,14393.5
98,14389.5
99,14388.5
100,14386.0
101,14386.5
102,14388.5
103,14389.0
104,14389.5
105,14387.0
106,14385.5
107,14386.5
108,14387.5
109,14387.5
110,14388.5
111,14387.5
112,14384.5
113,14385.5
114,14384.0
115,14379.5
116,14381.5
117,14382.5
118,14384.0
119,14382.5
120,14386.5
121,14387.5
122,14389.5
123,14388.0
124,14387.0
125,14390.5
126,14390.0
127,14390.0
128,14393.5
129,14396.5
130,14397.0
131,14401.5
132,14397.5
133,14397.5
134,14396.0
135,14399.5
136,14403.5
137,14402.5
138,14402.5
139,14404.5
140,14406.0
141,14406.5
142,14409.0
143,14414.0
144,14414.5
145,14411.5
146,14410.5
147,14410.5
148,14409.5
149,14411.0
150,14413.0
151,14415.5
152,14416.5
153,14417.0
154,14414.0
155,14413.0
156,14410.5
157,14411.5
158,14411.0
159,14410.5
160,14412.0
161,14411.5
162,14414.0
163,14416.5
164,14414.0
165,14417.5
166,14416.5
167,14414.5
168,14413.5
169,14410.0
170,14410.5
171,14413.5
172,14409.5
173,14410.5
174,14412.0
175,14413.5
176,14415.5
177,14416.5
178,14415.0
179,14417.0
180,14418.0
181,14419.5
182,14420.5
183,14419.5
184,14419.5
185,14421.0
186,14423.5
187,14418.5
188,14415.0
189,14410.5
190,14409.5
191,14407.5
192,14407.5
193,14407.0
194,14410.5
195,14408.5
196,14406.5
197,14404.5
198,14403.5
199,14403.5
200,14402.5
201,14399.5
202,14396.5
203,14396.5
204,14395.0
205,14392.5
206,14391.5
207,14392.5
208,14397.5
209,14401.5
210,14399.0
211,14397.5
212,14392.5
213,14387.5
214,14382.5
215,14384.5
216,14384.0
217,14380.5
218,14378.5
219,14377.0
220,14375.0
221,14378.5
222,14373.5
223,14372.5
224,14372.5
225,14373.5
226,14368.0
227,14368.5
228,14365.0
229,14363.5
230,14359.0
231,14361.0
232,14368.5
233,14371.5
234,14370.5
235,14365.5
236,14367.5
237,14370.5
238,14367.5
239,14370.0
240,14365.5
241,14361.5
242,14362.0
243,14358.5
244,14360.0
245,14363.5
246,14363.5
247,14364.5
248,14368.5
249,14370.0
250,14373.5
251,14377.0
252,14374.0
253,14379.5
254,14382.5
255,14383.0
256,14385.0
257,14385.5
258,14386.5
259,14383.5
260,14382.5
261,14381.5
262,14384.5
263,14385.5
264,14386.5
265,14386.5
266,14389.5
267,14383.0
268,14380.5
269,14383.0
270,14382.0
271,14383.5
272,14387.5
273,14389.5
274,14386.0
275,14385.5
276,14382.5
277,14383.5
278,14386.0
279,14385.5
280,14386.5
281,14386.5
282,14391.0
283,14391.5
284,14392.0
285,14393.5
286,14396.0
287,14398.0
288,14397.5
289,14398.0
290,14399.5
291,14400.5
292,14399.5
293,14398.5
294,14397.5
295,14398.5
296,14397.5
297,14394.5
298,14394.0
299,14392.5
300,14394.5
301,14392.5
302,14391.5
303,14396.5
304,14397.5
305,14395.5
306,14398.5
307,14397.5
308,14395.5
309,14397.0
310,14393.5
311,14393.5
312,14394.5
313,14396.5
314,14395.5
315,14394.0
316,14393.5
317,14396.5
318,14392.5
319,14394.5
320,14395.0
321,14398.5
322,14395.5
323,14398.5
324,14396.5
325,14397.5
326,14396.5
327,14390.0
328,14389.5
329,14390.5
330,14393.0
331,14391.5
332,14388.5
333,14390.5
334,14389.5
335,14392.0
336,14395.5
337,14395.0
338,14394.5
339,14392.5
340,14387.5
341,14387.5
342,14389.5
343,14392.5
344,14392.0
345,14397.0
346,14395.5
347,14395.5
348,14394.0
349,14393.0
350,14392.5
351,14390.5
352,14389.5
353,14390.5
354,14390.5
355,14388.0
356,14389.5
357,14387.0
358,14388.5
359,14388.5
360,14383.5
361,14381.0
362,14383.5
363,14381.5
364,14380.0
365,14379.0
366,14379.5
367,14380.5
368,14380.0
369,14384.5
370,14383.0
371,14382.0
372,14381.5
373,14382.0
374,14385.5
375,14391.5
376,14391.0
377,14390.5
378,14392.5
379,14392.0
380,14394.5
381,14391.5
382,14393.5
383,14388.0
384,14389.5
385,14391.5
386,14397.5
387,14395.5
388,14397.5
389,14399.0
390,14396.5
391,14397.5
392,14395.0
393,14392.0
394,14388.5
395,14387.5
396,14385.0
397,14379.5
398,14380.5
399,14376.0
400,14377.5
401,14378.5
402,14376.5
403,14372.0
404,14369.5
405,14366.5
406,14365.5
407,14364.5
408,14370.5
409,14365.5
410,14363.5
411,14365.5
412,14368.0
413,14371.5
414,14368.5
415,14371.0
416,14363.5
417,14362.5
418,14365.0
419,14367.0
420,14363.5
421,14361.0
422,14355.5
423,14353.5
424,14349.5
425,14350.5
426,14348.5
427,14350.0
428,14349.5
429,14348.5
430,14353.5
431,14356.5
432,14353.0
433,14356.5
434,14358.5
435,14362.0
436,14363.5
437,14358.5
438,14357.5
439,14351.0
440,14347.5
441,14345.5
442,14348.5
443,14349.0
444,14349.5
445,14351.5
446,14349.0
447,14352.0
448,14352.5
449,14350.0
450,14348.5
451,14347.5
452,14349.5
453,14353.0
454,14352.5
455,14351.5
456,14356.5
457,14364.5
458,14369.5
459,14370.0
460,14369.0
461,14370.5
462,14371.5
463,14369.5
464,14373.0
465,14379.5
466,14377.5
467,14375.5
468,14374.0
469,14370.5
470,14372.5
471,14368.5
472,14370.5
473,14371.5
474,14373.5
475,14369.5
476,14370.0
477,14370.5
478,14373.0
479,14374.0
480,14372.5
481,14375.5
482,14379.0
483,14382.5
484,14380.5
485,14382.0
486,14379.5
487,14379.0
488,14381.0
489,14377.5
490,14384.5
491,14387.5
492,14385.5
493,14384.5
494,14384.0
495,14383.5
496,14380.5
497,14380.0
498,14375.5
499,14374.0
500,14379.0
501,14378.5
502,14377.5
503,14381.5
504,14382.5
505,14384.5
506,14382.5
507,14385.5
508,14384.5
509,14387.0
510,14388.5
511,14393.5
512,14396.0
513,14396.0
514,14393.0
515,14392.5
516,14390.5
517,14394.5
518,14393.5
519,14387.0
520,14388.0
521,14390.5
522,14387.5
523,14389.5
524,14386.0
525,14386.5
526,14386.5
527,14387.0
528,14388.5
529,14386.5
530,14388.5
531,14387.0
532,14387.5
533,14391.5
534,14388.5
535,14389.0
536,14393.5
537,14396.5
538,14394.5
539,14393.0
540,14394.5
541,14392.5
542,14392.5
543,14389.0
544,14390.5
545,14386.5
546,14386.5
547,14388.5
548,14386.5
549,14382.5
550,14379.0
551,14374.0
552,14378.5
553,14373.5
554,14370.0
555,14370.5
556,14371.0
557,14373.5
558,14377.5
559,14378.5
560,14378.5
561,14376.5
562,14376.0
563,14378.5
564,14380.5
565,14382.0
566,14377.5
567,14375.5
568,14373.5
569,14372.0
570,14369.0
571,14370.5
572,14373.5
573,14378.5
574,14377.0
575,14376.5
576,14377.0
577,14377.0
578,14374.5
579,14376.5
580,14371.5
581,14370.0
582,14364.5
583,14366.5
584,14362.5
585,14359.5
586,14359.5
587,14356.5
588,14357.5
589,14356.5
590,14361.5
591,14358.5
592,14356.0
593,14357.5
594,14357.5
595,14359.0
596,14358.0
597,14360.5
598,14361.5
599,14365.5
600,14361.5
601,14362.0
602,14361.5
603,14362.5
604,14360.0
605,14362.5
606,14358.5
607,14361.0
608,14362.5
609,14357.5
610,14358.5
611,14353.5
612,14354.5
613,14350.5
614,14350.5
615,14349.5
616,14345.0
617,14340.0
618,14341.5
619,14340.0
620,14343.0
621,14342.5
622,14350.5
623,14350.5
624,14355.5
625,14356.5
626,14356.5
627,14358.0
628,14356.0
629,14354.5
630,14358.5
631,14358.5
632,14355.5
633,14356.5
634,14354.5
635,14354.5
636,14357.5
637,14361.5
638,14366.5
639,14369.5
640,14371.5
641,14372.5
642,14373.5
643,14373.5
644,14380.0
645,14379.5
646,14384.5
647,14384.0
648,14387.5
649,14379.5
650,14380.5
651,14378.5
652,14383.0
653,14387.5
654,14385.5
655,14385.5
656,14388.5
657,14389.0
658,14389.5
659,14392.5
660,14389.0
661,14393.5
662,14394.5
663,14387.0
664,14384.5
665,14384.5
666,14391.0
667,14391.5
668,14387.5
669,14391.5
670,14392.5
671,14392.5
672,14396.0
673,14395.0
674,14395.0
675,14398.0
676,14399.5
677,14402.5
678,14401.5
679,14406.5
680,14403.0
681,14399.5
682,14400.5
683,14400.5
684,14401.5
685,14401.5
686,14401.5
687,14399.0
688,14400.5
689,14404.0
690,14402.0
691,14407.5
692,14412.5
693,14410.5
694,14412.5
695,14410.0
696,14410.0
697,14407.5
698,14406.5
699,14401.5
700,14401.5
701,14399.0
702,14396.5
703,14391.5
704,14392.5
705,14397.5
706,14397.0
707,14397.0
708,14394.5
709,14393.5
710,14391.5
711,14387.5
712,14385.5
713,14384.0
714,14385.5
715,14384.5
716,14385.5
717,14389.5
718,14392.5
719,14391.5
720,14387.0
721,14386.5
722,14387.5
723,14390.5
724,14391.0
725,14399.0
726,14398.5
727,14400.5
728,14398.0
729,14395.5
730,14395.0
731,14396.0
732,14398.0
733,14389.5
734,14393.0
735,14397.5
736,14401.5
737,14404.0
738,14403.5
739,14405.5
740,14409.5
741,14407.0
742,14409.0
743,14410.5
744,14410.5
745,14415.5
746,14414.0
747,14411.5
748,14411.5
749,14410.0
750,14414.0
751,14409.5
752,14406.5
753,14407.5
754,14409.5
755,14406.5
756,14410.5
757,14405.5
758,14408.5
759,14406.0
760,14405.0
761,14410.0
762,14410.0
763,14408.5
764,14409.5
765,14414.5
766,14415.0
767,14413.0
768,14413.5
769,14410.5
770,14409.0
771,14407.5
772,14409.5
773,14408.5
774,14409.5
775,14413.0
776,14417.5
777,14413.0
778,14413.0
779,14410.0
780,14412.0
781,14412.5
782,14413.0
783,14411.5
784,14409.0
785,14404.5
786,14407.5
787,14407.0
788,14407.5
789,14408.5
790,14410.5
791,14415.5
792,14415.5
793,14417.5
794,14413.0
795,14412.0
796,14410.5
797,14408.5
798,14412.0
799,14412.5
800,14412.5
801,14413.0
802,14412.5
803,14412.0
804,14410.5
805,14409.0
806,14408.0
807,14407.5
808,14402.5
809,14403.0
810,14403.0
811,14404.5
812,14401.5
813,14399.0
814,14401.5
815,14399.5
816,14401.0
817,14399.5
818,14396.0
819,14392.5
820,14390.5
821,14389.5
822,14386.5
823,14390.5
824,14390.5
825,14388.5
826,14392.5
827,14394.5
828,14392.5
829,14390.5
830,14389.5
831,14392.0
832,14388.5
833,14391.5
834,14390.5
835,14393.0
836,14392.5
837,14394.0
838,14396.0
839,14399.5
840,14397.5
841,14403.0
842,14399.5
843,14400.5
844,14402.5
845,14403.0
846,14405.5
847,14401.5
848,14401.5
849,14404.0
850,14404.5
851,14401.5
852,14402.0
853,14402.5
854,14400.5
855,14404.0
856,14402.5
857,14400.0
858,14400.5
859,14398.5
860,14398.5
861,14399.5
862,14398.5
863,14400.0
864,14401.0
865,14404.5
866,14402.0
867,14402.5
868,14403.0
869,14404.0
870,14398.5
871,14396.0
872,14397.0
873,14398.5
874,14399.0
875,14399.5
876,14403.0
877,14402.5
878,14400.5
879,14404.5
880,14406.5
881,14406.0
882,14404.5
883,14408.5
884,14408.5
885,14406.5
886,14410.0
887,14406.0
888,14406.0
889,14407.5
890,14407.0
891,14406.0
892,14407.5
893,14404.5
894,14403.5
895,14406.0
896,14403.5
897,14407.0
898,14406.5
899,14406.5
900,14405.5
901,14407.5
902,14406.5
903,14407.0
904,14410.5
905,14414.0
906,14410.5
907,14414.0
908,14412.5
909,14413.5
910,14414.5
911,14415.5
912,14413.5
913,14415.5
914,14418.5
915,14417.0
916,14417.5
917,14419.5
918,14422.5
919,14423.5
920,14424.5
921,14426.0
922,14425.5
923,14426.5
924,14425.5
925,14425.0
926,14419.0
927,14414.5
928,14415.5
929,14417.5
930,14419.0
931,14419.5
932,14418.5
933,14420.5
934,14419.5
935,14419.5
936,14424.0
937,14420.5
938,14418.5
939,14418.5
940,14413.5
941,14410.5
942,14413.5
943,14414.5
944,14414.5
945,14418.5
946,14415.5
947,14421.0
948,14421.0
949,14419.5
950,14422.5
951,14424.0
952,14424.5
953,14424.5
954,14419.5
955,14414.5
956,14414.5
957,14417.5
958,14415.5
959,14415.5
960,14411.5
961,14407.5
962,14407.5
963,14409.5
964,14411.5
965,14414.5
966,14412.5
967,14412.5
968,14414.5
969,14412.0
970,14411.5
971,14411.5
972,14411.5
973,14413.5
974,14415.0
975,14414.0
976,14407.5
977,14410.0
978,14412.5
979,14414.5
980,14415.5
981,14416.5
982,14420.0
983,14418.5
984,14418.5
985,14416.0
986,14415.5
987,14413.5
988,14411.0
989,14405.5
990,14405.5
991,14408.5
992,14400.5
993,14404.0
994,14403.5
995,14402.5
996,14403.0
997,14402.5
998,14402.0
999,14406.0
1000,14406.5
